58,100,28,23
60,100,28,23
61,100,28,23
62,100,28,23
62,100,28,23
64,101,28,23
66,101,28,23
67,101,28,23
69,102,28,23
69,102,28,23
70,102,28,23
71,103,28,23
70,103,28,23
69,103,28,23
68,104,28,23
68,104,28,23
67,104,28,23
66,104,28,23
65,105,28,23
65,105,28,23
65,105,28,23
64,106,28,23
64,107,28,23
66,107,28,23
68,107,28,23
68,107,28,23
71,107,28,23
75,107,28,23
80,108,28,23
85,108,27,22
89,108,27,22
90,108,27,22
92,109,26,22
92,109,26,22
93,109,27,22
94,109,27,22
95,109,27,22
95,109,27,22
96,109,27,22
98,110,27,22
99,110,27,22
99,110,27,22
100,110,27,22
101,110,27,22
103,111,26,22
104,111,26,22
104,111,26,22
106,109,27,22
108,107,26,22
108,107,26,22
109,104,26,22
110,102,26,22
112,100,27,22
115,100,27,22
117,99,26,22
117,99,26,22
118,98,26,22
120,98,26,22
121,98,26,22
122,98,27,22
122,98,27,22
123,98,27,22
124,98,27,22
125,98,26,22
126,98,26,22
126,98,26,22
128,98,27,22
129,99,27,22
130,99,27,22
131,99,27,22
132,99,27,22
132,99,27,22
134,99,27,22
135,99,27,22
137,99,26,22
138,99,27,22
139,99,27,22
139,99,27,22
141,99,27,22
142,100,27,22
144,100,27,22
145,100,26,22
146,100,26,22
146,100,26,22
147,100,26,22
149,100,26,22
150,100,26,22
151,100,27,22
156,100,27,22
157,100,27,22
157,100,27,22
157,100,27,22
160,102,27,22
160,102,27,22
165,102,27,22
165,102,27,22
165,102,27,22
165,102,27,22
166,102,28,23
167,102,28,23
167,102,28,23
167,102,29,24
168,102,29,24
169,102,29,24
169,102,29,24
170,103,30,24
170,103,30,25
170,103,31,25
171,104,30,25
177,106,31,25
177,106,31,25
177,106,31,25
178,106,31,25
178,106,31,25
178,107,31,25
179,107,31,25
179,107,31,25
179,107,31,25
179,108,31,25
180,108,31,25
184,108,30,25
184,108,30,25
184,109,30,25
185,109,30,25
185,109,30,25
185,111,30,25
185,112,30,25
185,112,30,25
184,113,30,24
184,113,30,24
184,113,30,24
186,115,30,24
185,116,30,24
183,116,30,25
182,116,30,25
182,116,30,25
183,114,30,25
182,115,30,25
181,115,30,25
181,115,30,25
180,116,30,25
180,116,30,25
179,116,30,25
179,116,30,25
178,117,31,25
177,117,31,25
176,122,31,25
175,122,31,25
173,122,31,25
173,122,31,25
172,122,30,25
171,122,30,25
170,122,30,25
169,123,30,25
169,123,30,25
167,123,30,25
166,123,30,25
164,123,30,25
162,122,30,25
161,120,30,25
161,120,30,25
159,117,30,25
157,115,30,25
155,112,30,25
